기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반
기간	자치구	동	계	남	여	계	남	여	계	남	여	계	남	여
2019	도봉구	쌍문4동	481	103	378	52	11	41	16	4	12	413	88	325
2019	도봉구	방학1동	1,283	478	805	325	133	192	90	22	68	868	323	545
2019	도봉구	방학2동	1,191	465	726	402	151	251	103	26	77	686	288	398
2019	도봉구	방학3동	764	155	609	74	7	67	39	13	26	651	135	516
2019	도봉구	창1동	985	263	722	154	52	102	33	9	24	798	202	596
2019	도봉구	창2동	1,008	310	698	188	45	143	70	24	46	750	241	509
2019	도봉구	창3동	776	260	516	235	74	161	54	8	46	487	178	309
2019	도봉구	창4동	789	216	573	85	25	60	32	5	27	672	186	486
2019	도봉구	창5동	766	209	557	108	40	68	51	12	39	607	157	450
2019	도봉구	도봉1동	1,468	576	892	323	128	195	109	31	78	1,036	417	619
2019	도봉구	도봉2동	1,307	410	897	296	109	187	97	16	81	914	285	629
2019	노원구	소계	21,249	5,953	15,296	6,471	1,913	4,558	1,964	415	1,549	12,814	3,625	9,189
2019	노원구	월계1동	937	330	607	197	90	107	65	12	53	675	228	447
2019	노원구	월계2동	1,646	503	1,143	798	267	531	171	35	136	677	201	476
2019	노원구	월계3동	1,410	359	1,051	491	137	354	125	33	92	794	189	605
2019	노원구	공릉2동	981	299	682	182	45	137	64	9	55	735	245	490
2019	노원구	하계1동	1,346	316	1,030	695	174	521	139	24	115	512	118	394
2019	노원구	하계2동	668	151	517	208	45	163	84	16	68	376	90	286
2019	노원구	중계본동	644	195	449	96	25	71	88	17	71	460	153	307
2019	노원구	중계1동	504	115	389	129	30	99	61	10	51	314	75	239
2019	노원구	중계4동	1,108	299	809	482	147	335	133	28	105	493	124	369
2019	노원구	상계1동	1,365	444	921	320	92	228	115	29	86	930	323	607
2019	노원구	상계2동	753	276	477	195	74	121	62	12	50	496	190	306
2019	노원구	상계5동	1,336	426	910	321	89	232	118	38	80	897	299	598
2019	노원구	상계8동	582	125	457	34	12	22	18	3	15	530	110	420
2019	노원구	상계9동	723	167	556	62	14	48	41	8	33	620	145	475
2019	노원구	상계10동	444	102	342	46	11	35	15	2	13	383	89	294
2019	노원구	상계3.4동	1,827	607	1,220	640	221	419	209	49	160	978	337	641
2019	노원구	상계6.7동	1,164	251	913	88	26	62	48	18	30	1,028	207	821
2019	노원구	중계2.3동	2,227	497	1,730	976	244	732	293	47	246	958	206	752
2019	노원구	공릉1동	1,584	491	1,093	511	170	341	115	25	90	958	296	662
2019	은평구	소계	19,974	6,349	13,625	4,756	1,501	3,255	849	186	663	14,369	4,662	9,707
2019	은평구	녹번동	1,843	591	1,252	394	157	237	68	16	52	1,381	418	963
2019	은평구	불광1동	1,985	611	1,374	440	145	295	57	15	42	1,488	451	1,037
2019	은평구	갈현1동	1,167	403	764	335	114	221	51	12	39	781	277	504
2019	은평구	갈현2동	1,051	318	733	248	86	162	61	10	51	742	222	520
2019	은평구	구산동	1,235	481	754	280	87	193	56	11	45	899	383	516
2019	은평구	대조동	1,408	466	942	344	122	222	60	13	47	1,004	331	673
2019	은평구	응암1동	993	276	717	199	46	153	36	10	26	758	220	538
2019	은평구	응암2동	781	238	543	228	50	178	28	6	22	525	182	343
2019	은평구	신사1동	976	306	670	171	61	110	41	6	35	764	239	525
2019	은평구	신사2동	911	300	611	198	60	138	39	14	25	674	226	448
2019	은평구	증산동	669	215	454	126	38	88	23	2	21	520	175	345
